1;FFFF00;yellow;0;0;0;2;1000;-1;100;1000;100
2;FAD780;apricot;0;-15;0;2;1000;-1;100;1000;100
3;FFA500;orange;0;-30;0;2;1000;-1;100;1000;100
4;4CBED9;light blue;0;-45;0;2;1000;-1;100;1000;100
5;14B43C;lime;0;-60;0;2;1000;-1;100;1000;100
6;FF0000;red;0;-75;0;2;1000;-1;100;1000;100
7;D90385;pink;0;-90;0;2;1000;-1;100;1000;100
8;8C5F96;lilac;0;-105;0;2;1000;-1;100;1000;100
9;008000;green;0;-120;0;2;1000;-1;100;1000;100
10;0000FF;blue;0;-135;0;2;1000;-1;100;1000;100
11;5F311E;brown;0;-150;0;2;1000;-1;100;1000;100
12;000000;black;0;-165;0;2;1000;-1;100;1000;100
