----- Possible levels: Trace, Debug, Info, Warn, Error, Fatal ----|

2020-04-14 20:57:27.3331 | Info  | GRBL_Plotter.MainForm          | ++++++ GRBL-Plotter Ver. 1.3.4.5 START ++++++
2020-04-14 20:57:27.7051 | Info  | GRBL_Plotter.MainForm          | Language: en
2020-04-14 20:57:29.1360 | Trace | GRBL_Plotter.MainForm          | loadHotkeys
2020-04-14 20:57:29.2400 | Trace | GRBL_Plotter.MainForm          | LoadRecentList
2020-04-14 20:57:29.2400 | Trace | GRBL_Plotter.MainForm          | LoadExtensioList
2020-04-14 20:57:29.2400 | Debug | GRBL_Plotter.MainForm          | Add Extension GCode_Conic_Spiral.hta
2020-04-14 20:57:29.2490 | Debug | GRBL_Plotter.MainForm          | Add Extension GCode_Spherical_Bowl.hta
2020-04-14 20:57:29.2490 | Debug | GRBL_Plotter.MainForm          | Add Extension SVG_simple_example.html
2020-04-14 20:57:29.2770 | Debug | GRBL_Plotter.toolTable         | Init tool table
2020-04-14 20:57:29.3640 | Trace | GRBL_Plotter.MainForm          | MainForm_Load finish
2020-04-14 20:57:29.7359 | Trace | GRBL_Plotter.MainForm          | Event  fCTBCode_TextChanged  manualEdit False  resetView False
2020-04-14 20:57:30.8629 | Trace | GRBL_Plotter.ControlSerialForm | ++++++ SerialForm 1 START ++++++
2020-04-14 20:57:30.9699 | Info  | GRBL_Plotter.ControlSerialForm | Form 1, openPort COM3 115200
2020-04-14 20:57:32.6388 | Debug | GRBL_Plotter.ControlSerialForm | Received Reset message
2020-04-14 20:57:33.4567 | Info  | GRBL_Plotter.MainForm          | stop streaming at line 0
2020-04-14 20:57:33.5687 | Info  | GRBL_Plotter.MainForm          | Read buffer size of 127 [Setup - Flow control - grbl buffer size]
2020-04-14 20:57:55.2434 | Info  | GRBL_Plotter.MainForm          | Load file data\examples\graphic_grbl.svg
2020-04-14 20:57:55.2515 | Info  | GRBL_Plotter.MainForm          | startConvertSVG
2020-04-14 20:57:56.8973 | Debug | GRBL_Plotter.GCodeFromSVG      | convertSVG data\examples\graphic_grbl.svg
2020-04-14 20:57:56.8973 | Trace | GRBL_Plotter.Plotter           | startCode()
2020-04-14 20:57:56.8973 | Debug | GRBL_Plotter.toolTable         | Init tool table
2020-04-14 20:57:56.9814 | Trace | GRBL_Plotter.Plotter           |   PenUp SetGroup
2020-04-14 20:57:57.0053 | Trace | GRBL_Plotter.GCodeFromSVG      |  parseAttributs: stroke: #00ff00 P-color: 00ff00 P-toolNr: 5
2020-04-14 20:57:57.0053 | Trace | GRBL_Plotter.GCodeFromSVG      |   Path d m 142.42092,606.55353 c -9.87754,0 -18.78254,-5.94669 -22.5623,-15.06692 -3.77975,-9.1202 -1.68984,-19.61773 5.29461,-26.59814 6.98444,-6.98042 17.48803,-9.06913 26.6135,-5.29156 9.12549,3.77757 15.07561,12.67744 15.07561,22.54927 v 60.33496 c 0,13.4798 -10.93384,24.40734 -24.42142,24.40734 -6.74114,0.004 -12.2039,5.46643 -12.2039,12.20367 0,6.73725 5.46276,12.19987 12.2039,12.20367 26.97516,0 48.84285,-21.85508 48.84286,-48.81468 v -60.33496 c 0,-19.74367 -11.90025,-37.5434 -30.15123,-45.09855 -18.25095,-7.55513 -39.25812,-3.37771 -53.22701,10.58311 -13.968884,13.96083 -18.148711,34.95589 -10.589213,53.1963 7.559513,18.24045 25.369513,30.13383 45.124593,30.13383 h 12.21071 l 12.21071,-12.20367 -12.21071,-12.20367 h -12.21071
2020-04-14 20:57:57.0524 | Trace | GRBL_Plotter.Plotter           |  StartPath at X:13.890 Y:24.020, old X:0.000 Y:0.000 strIndex:2 strIndexOld:-1 
2020-04-14 20:57:57.0524 | Trace | GRBL_Plotter.Plotter           |   PenUp  in  StartPath
2020-04-14 20:57:57.0524 | Trace | GRBL_Plotter.Plotter           |  <Figure Id="1" Id="path_g" Color="#00ff00" ToolNr="5"> 
2020-04-14 20:57:57.0524 | Trace | GRBL_Plotter.Plotter           |   StartPath get angle for x13.890 y24.020 a=59.96
2020-04-14 20:57:57.1133 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x139.974 y606.431 cmt c
2020-04-14 20:57:57.1133 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 13.890;24.020  p2 13.200;24.054
2020-04-14 20:57:57.1133 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1133 | Trace | GRBL_Plotter.Plotter           |   PenDown - MoveToRapid X13.890 Y24.020 alpha 177.14
2020-04-14 20:57:57.1323 | Trace | GRBL_Plotter.Plotter           |  MoveTo X13.200 Y24.054
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X13.200 Y24.054
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x137.582 y606.071 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 13.200;24.054  p2 12.525;24.156
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X12.525 Y24.156
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X12.525 Y24.156
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x135.260 y605.482 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 12.525;24.156  p2 11.869;24.322
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X11.869 Y24.322
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X11.869 Y24.322
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x133.021 y604.674 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 11.869;24.322  p2 11.238;24.550
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X11.238 Y24.550
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X11.238 Y24.550
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x130.881 y603.657 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 11.238;24.550  p2 10.633;24.837
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X10.633 Y24.837
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X10.633 Y24.837
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x128.853 y602.440 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 10.633;24.837  p2 10.061;25.181
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X10.061 Y25.181
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X10.061 Y25.181
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x126.952 y601.033 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 10.061;25.181  p2 9.525;25.578
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X9.525 Y25.578
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X9.525 Y25.578
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x125.193 y599.446 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 9.525;25.578  p2 9.028;26.026
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X9.028 Y26.026
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X9.028 Y26.026
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x123.590 y597.688 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 9.028;26.026  p2 8.576;26.522
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X8.576 Y26.522
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X8.576 Y26.522
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x122.156 y595.769 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 8.576;26.522  p2 8.171;27.063
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X8.171 Y27.063
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X8.171 Y27.063
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x120.908 y593.699 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 8.171;27.063  p2 7.819;27.647
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.819 Y27.647
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.819 Y27.647
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x119.859 y591.487 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.819;27.647  p2 7.523;28.272
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.523 Y28.272
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.523 Y28.272
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x119.035 y589.181 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.523;28.272  p2 7.290;28.923
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.290 Y28.923
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.290 Y28.923
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x118.453 y586.834 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.290;28.923  p2 7.126;29.585
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.126 Y29.585
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.126 Y29.585
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x118.109 y584.465 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.126;29.585  p2 7.029;30.253
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.029 Y30.253
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.029 Y30.253
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x117.999 y582.089 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.029;30.253  p2 6.998;30.924
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X6.998 Y30.924
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X6.998 Y30.924
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x118.121 y579.723 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 6.998;30.924  p2 7.032;31.592
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.032 Y31.592
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.032 Y31.592
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x118.469 y577.385 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.032;31.592  p2 7.131;32.251
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.131 Y32.251
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.131 Y32.251
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x119.042 y575.092 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.131;32.251  p2 7.292;32.899
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.292 Y32.899
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.292 Y32.899
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x119.836 y572.860 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.292;32.899  p2 7.516;33.528
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.516 Y33.528
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.516 Y33.528
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x120.848 y570.707 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.516;33.528  p2 7.802;34.136
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X7.802 Y34.136
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X7.802 Y34.136
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x122.073 y568.649 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 7.802;34.136  p2 8.148;34.717
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  PenDown c moveto
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo X8.148 Y34.717
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |   MoveToDashed X8.148 Y34.717
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.GCodeFromSVG      |  svgMoveTo x123.510 y566.704 cmt c
2020-04-14 20:57:57.1403 | Trace | GRBL_Plotter.Plotter           |  MoveTo get angle p1 8.148;34.717  p2 8.553;35.266
